title,price,old_price,category,description
UPS APC 550 Master Control,863.99,,UPS,"Putere intrare (VA) : 550,Putere Iesire (W) : 330,Tensiune alimentare (V) : 230,Energie (J) : 355,Dimensiuni (mm) : 192 x 91x 310,Greutate (kg) : 6.53,Culoare : Negru"
Casti A4Tech HS-50,56.99,,Casti - Microfoane,"Structura : Earcup,Conectare : Wired,Interfata : Jack de 3.5 mm,Lungimea cablului (m) : 2,Stil : Over-the-head,Pernuta : Da,Frecventa : 20 Hz - 20 kHz,Impedanta (Ohm) : 32,Microfon : Da,PC : Da"
Kit Tastatura Logitech si Mouse Wireless MK710,460.99,, Tastaturi PC,"Tip produs : Kit tastatura si mouse,Conectivitate : Wireless,Interfata tastatura : USB,Iluminata : Nu,Sistem de operare : Windows 7 | Windows Vista | Windows XP,Culoare : Negru"
Mouse BenQ Optic M106 (Negru),24.28,,Mouse,"Conectare : Wired,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 800"
Mouse BenQ Laser Wireless P900 (Argintiu),116.99,,Mouse,"Conectare : Wireless,Tehnologie : Laser,Constructie : Ambidextru,Scroll : Da,Interfata : USB,Rezolutie (DPI) : 1600"
UPS Eaton 9130 1000 VA Tower,2318.99,,UPS,UPS Eaton 9130 1000 VA Tower
Mouse Microsoft Wireless Mobile 4000 (Negru),146.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 4,Interfata : USB,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Culoare : Negru,Dimensiune (mm) : 9.87 x 5.78 x 3.76cm,Greutate : 86.8 grame"
Extensie garantie 3 ani,408.99,,Periferice,Extensie garantie 3 ani
Boxe Logitech Z313,172.99,191.99,Boxe,"Recomandare : Gaming,Configuratie : 2.1,Frecventa : 48Hz - 20KHz,Wireless : Nu,Analog : Jack 3.5mm,Subwoofer : 15,Satelit : 2 x 5 W,Totala : 25,Tip : Cu fir,Subwoofer (mm) : 220 x 150 x 228,Sateliti (mm) : 81 x 89 x 146"
Mouse Logitech Optic M90 (Negru),34.73,62.99,Mouse,"Conectare : Wired,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 1000,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Apple : Mac OS X 10.4,Culoare : Negru"
Kit Tastatura Logitech si Mouse MK120,104.99,112.99, Tastaturi PC,"Tip produs : Kit tastatura si mouse,Conectivitate : Wired,Interfata tastatura : USB,Iluminata : Nu,Sistem de operare : Windows 7 | Windows Vista | Windows XP,Culoare : Negru"
Tastatura Logitech USB OEM Business K120 (Negru),65.62,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB,Iluminata : Nu,Sistem de operare : Windows 7 | Windows Vista | Windows XP,Culoare : Negru,Lungime cablu (m) : 1.5"
Adaptor Gembird DVI-I - VGA,5.56,,Periferice,Adaptor Gembird DVI-I - VGA
Boxe Logitech Z623 (Negru),732.99,816.99,Boxe,"Recomandare : Gaming,Configuratie : 2.1,Wireless : Nu,Analog : Jack 3.5mm,Totala : 200"
Casti cu Microfon A4Tech HS-28 (Negru),52.99,,Casti - Microfoane,"Structura : Earcup,Conectare : Wired,Interfata : Jack de 3.5 mm,Stil : Over-the-head,Pernuta : Da,Diametru (mm) : 40,Sensibilitate (dBPa/V) : 105 +/- 3,Frecventa : 20 Hz - 20 kHz,Impedanta (Ohm) : 32,Sensibilitate (dBV/Pa) : -58,Sunet stereo : Da,Controlul volumului : Da"
Casti cu Microfon Logitech H110,85.99,,Casti - Microfoane,"Structura : Earcup,Conectare : Wired,Interfata : Jack de 3.5 mm,Stil : Over-the-head,Pernuta : Da,Frecventa : 20 Hz - 20 kHz,Microfon : Da,Frecventa : 100 Hz &#8211;16 kHz"
Stick USB A-DATA C008 8GB (Negru),53.99,,Stick USB,"Capacitate : 8GB,Compatibilitate : USB 2.0,LED : Nu,Criptare : Nu,Windows : Windows 98 / 2000 / XP / Vista / 7,Apple : Da (Mac OS 9.0 +),Linux : Da (2.4+),Dimensiuni (LxlxG) : 59.6 x 19.5 x 9.5 mm,Greutate (g) : 10,Culoare : Negru / Rosu"
Tastatura Logitech Wireless K800,503.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wireless,Interfata tastatura : USB,Numar taste : 105,Iluminata : Da,Sistem de operare : Windows 7 | Windows Vista | Windows XP,Culoare : Negru"
Mouse Microsoft Wireless Arc Touch (Negru),317.99,,Mouse,"Conectare : Wireless,Tehnologie : BlueTrack,Constructie : Ambidextru,Scroll : Da,Interfata : USB,Touch : Da,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Culoare : Negru,Dimensiune (mm) : 130.6 x 58"
Boxe Creative GigaWorks T40 Series II,563.99,,Boxe,"Configuratie : 2.0,Frecventa : 50Hz -20KHz,Wireless : Nu,Analog : Jack 3.5mm,Satelit : 2 x 16 W,Totala : 32,Sateliti (mm) : 88 x 143 x 313"
UPS APC BR1500GI,2099.99,,UPS,"Putere intrare (VA) : 1500,Putere Iesire (W) : 865,Tensiune alimentare (V) : 230,Dimensiuni (mm) : 301 x 112 x 380,Greutate (kg) : 12.70,Culoare : Negru"
Mouse A4Tech Padless N-100-1 (Carbon),32.78,,Mouse,"Conectare : Wired,Tehnologie : V-Track,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,MicroSoft : Windows 7 | Windows 2000 | Windows 2003 | Windows XP | Windows Vista,Culoare : Negru"
Mouse Microsoft Wireless Mobile 3500 (Alb),134.99,,Mouse,"Conectare : Wireless,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Culoare : Alb"
Stick USB A-DATA C008 16GB (Negru),62.99,,Stick USB,"Capacitate : 16GB,Compatibilitate : USB 2.0,LED : Nu,Criptare : Nu,Windows : Windows 98 / 2000 / XP / Vista / 7,Apple : Da (Mac OS 9.0 +),Linux : Da (2.4+),Dimensiuni (LxlxG) : 59.6 x 19.5 x 9.5 mm,Greutate (g) : 10,Culoare : Negru / Rosu"
Cooler CPU Deepcool CK-AM209,18.6,,Coolere CPU,"AM2 : Da,AM2+ : Da,AM3 : Da,AM3+ : Da,FM1 : Da,940 : Da,939 : Da,754 : Da,Material : Baza: Aluminiu | Aripile de radiatie: Aluminiu,Mod De Racire : Aer,Tip (Bearing) : Hypro,LED : Fara,Viteza (RPM) : 2800 (&plusmn;10%),Acustic (dBA) : 30.7,Flux maxim de aer (CFM) : 35.70,Dimensiunea ventilatorului (L x l x G)(mm) : 80 x 80 x 25"
Cooler CPU Noctua NH-U9B SE2(dual fan),249.99,,Coolere CPU,"LGA 775 (T) : Da,LGA 1156 (H) : Da,LGA 1366 (B) : Da,LGA 1155 (H2) : Da,AM2 : Da,AM2+ : Da,AM3 : Da,AM3+ : Da,FM1 : Da,FM2 : Da,Material : Baza: Cupru | Heatpipe: Cupru | Aripile de radiatie: Aluminiu,Heatpipe-uri : 8,Mod De Racire : Aer,Tip (Bearing) : SSO,LED : Fara,Viteza (RPM) : 1600,Acustic (dBA) : 17 (minim),Perioada estimata de functionare (ore) : 150000,Dimensiunea ventilatorului (L x l x G)(mm) : 125 x 95 x 95 ( cu un ventilator)|125 x 95 x 120 (cu doua ventilatoare),Dimensiuni recomandate (mm) : 92 x 92 x 25,Ven. suportate : 2,Greutate (kg) : 0.462"
Cooler CPU Noctua NH-D14 (dual fan),446.99,,Coolere CPU,"LGA 775 (T) : Da,LGA 1156 (H) : Da,LGA 1366 (B) : Da,LGA 1155 (H2) : Da,LGA 1151 : Da,AM2 : Da,AM2+ : Da,AM3 : Da,AM3+ : Da,Material : Baza: Cupru | Heatpipe: Cupru | Aripile de radiatie: Aluminiu,Heatpipe-uri : 6,Dimensiunea radiatorului (L x l x G)(mm) : 158 x 140 x 160,Mod De Racire : Aer,LED : Fara,Viteza (RPM) : 1200,Acustic (dBA) : 19,Perioada estimata de functionare (ore) : 150000,Numar ventilatoare : 2,Dimensiunea ventilatorului (L x l x G)(mm) : 140 x 140 x 25,Dimensiuni recomandate (mm) : 120 x 120 x 25,Ven. suportate : 2,Inaltime (mm) : 160,Dimensiuni totale (L x l x H)(mm) : 158 x 140 x 160,Greutate (kg) : 0.920"
UPS APC BR900GI,1273.99,,UPS,"Putere intrare (VA) : 900,Putere Iesire (W) : 540,Tensiune alimentare (V) : 230,Energie (J) : 613,Dimensiuni (mm) : 250 x 87 x 382,Greutate (kg) : 10.72,Culoare : Negru,Familie UPS : Back-UPS Pro,Nr. Prize : 4 x IEC 320 C13 (Battery Backup) | 4 x IEC 320 C13 (Surge Protection)| 2 x IEC Jumpers (Battery Backup)|"
Mouse Logitech Optic Wireless M235 (Negru),99.99,112.99,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Apple : Mac OS X 10.5 +,Culoare : Gri"
Mouse A4Tech Optic USB OP-720 (Negru),23.96,,Mouse,"Conectare : Wired,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 800,Culoare : Negru,Lungimea cablului : 1.5 m"
Mouse Logitech Optic Wireless M325 (Gri),171.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 1000,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Apple : Mac OS X 10.5 +,Culoare : Gri,Design : Dark Grey"
Boxe Logitech Z906,1399,1526.99,Boxe,"Recomandare : Gaming,Configuratie : 5.1,Wireless : Nu,Iesire digitala : Da,Analog : Jack 3.5mm,Subwoofer : 165,Central : 67,Satelit : 4 x 67,Totala : 500 W,Tip : Wireless"
Stick USB SanDisk Cruzer Blade 16GB (Negru),23.54,,Stick USB,"Capacitate : 16GB,Compatibilitate : USB 2.0,LED : Nu,Windows ReadyBoost : Nu,Criptare : Nu,Windows : Windows 7 | Windows XP | Windows Vista,Apple : DA (Mac OS X 10.5+),Culoare : Negru / Rosu"
Carcasa Chieftec Giga DF-02B (Black),262.99,,Carcase,"Tip : Mid Tower,Sursa : Fara sursa,mATX : Da,ATX : Da,Dimensiuni (cm) : 48.7 x 20.0 x 43.0,Greutate (kg) : 6,Culoare : Negru,Slot HDD intern 3.5&quot; : x6,ODD 5.25&quot; : x4,FDD : x1,Sloturi expansiune : x7,USB 2.0 : x2,Audio : x1,Microfon : x1,Ventilatoare optionale : 1x 120mm Spate | 1x 120mm Jos | 1x 120mm + 2x 120mm Lateral stanga"
Mouse A4Tech Optic N-400 (Negru-rosu),32.92,,Mouse,"Conectare : Wired,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 2,Interfata : USB,MicroSoft : Windows 7 | Windows 2000 | Windows 2003 | Windows XP | Windows Vista,Culoare : Negru,Design : Negru cu rosu"
"Cablu convertor Gembird CUM360, USB - Paralel",34.37,,Periferice,"Cablu convertor Gembird CUM360, USB - Paralel"
Stick USB Verbatim PinStripe 16GB (Negru),17,,Stick USB,"Capacitate : 16GB,Compatibilitate : USB 2.0,Windows : 7 / Vista / XP / 2000,Apple : Da (Mac OS 9.0 +),Linux : Linux 2.4.0+,Dimensiuni (LxlxG) : 5.4 x 2.1 x 0.92,Greutate (g) : 8.6,Culoare : Negru"
Boxe Logitech Z120 (Negre),100.99,,Boxe,"Configuratie : 2.0,Frecventa : 200 HZ - 20 kHz,SNR (dBA) : > 83 dB,Impedanta (Ohm) : 6.5,Analog : Jack 3.5mm,Satelit : 0.6W,Totala : 1.2W"
Mouse Logitech Optic Wireless M185 (Gri),90.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 1000,MicroSoft : Windows 7 | Windows Vista | Windows XP,Apple : Mac OS X 10.5 +,Culoare : Gri"
Mouse Logitech Optic Wireless M235 pentru laptop (Rosu),113.99,122.99,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,MicroSoft : Windows 7 | Windows Vista | Windows XP,Apple : Mac OS X 10.5 +,Culoare : Rosu,Design : Rosu cu negru"
Tastatura Logitech Wireless Compacta K360 (Neagra),192.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wireless,Interfata tastatura : USB,Sistem de operare : Windows 7 | Windows Vista | Windows XP,Culoare : Negru"
Mouse Logitech Optic Wireless M185 (Rosu),70.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 1000,MicroSoft : Windows 7 | Windows Vista | Windows XP,Apple : Mac OS X 10.5 +,Culoare : Negru,Design : Negru cu rosu"
Casti Sony MDR-E9LP (Negre),29.99,,Casti - Microfoane,"Structura : Earbud,Conectare : Wired,Interfata : Jack de 3.5 mm,Lungimea cablului (m) : 1.2,Stil : In-the-ear,Diametru (mm) : 13.5,Sensibilitate (dBPa/V) : 104,Frecventa : 18 Hz - 22 kHz,Tip magnet : Neodimium,Impedanta (Ohm) : 16,Microfon : Nu,Sunet stereo : Da"
