title,price,old_price,category,description
"HDD Extern A-DATA HD710 Pro, 2.5inch, 2TB, USB 3.1, Anti-shock (Albastru)",369.99,,Hard Disk Extern,"Model : AHD710P-5TU31-CBK,Serie : HD710 Pro,Format : 2.5&quot;,Configuratie : Single,Interfata : USB 3.1,Capacitate : 2TB,SO MicroSoft : Windows XP | Windows Vista | Windows 7 | Windows 8 | Windows 8.1 | Windows 10,SO Apple : Mac OS X 10.6 sau superior,SO Linux : Linux Kernel 2.6 sau superior,Temp. ON : 5°C - 50°C,Dimensiuni (mm) : 133.3 x 98.5 x 26.7,Greutate (kg) : 0.390,Culoare : Albastru"
"SSD A-DATA SX6000 Pro, 512GB, M.2 2280, PCI Express x4",321.99,,Solid-State Drive (SSD),"Model : ASX6000PNP-512GT-C,Serie : SX6000 Pro,Tip SSD : Intern,Form Factor : 2.5 inch,Capacitate : 512GB,Interfata : PCI Express (x4) | NVMe 1.3,Lungime slot M.2 : 80mm,Viteza max. (citire) (MB/s) : 2100,Viteza max. (scriere) (MB/s) : 1400,Random 4KB citire (IOPS) : 250.000,Random 4KB scriere (IOPS) : 240.000,Dimensiuni (L x l x G) (mm) : 80 x 22 x 1.35,Greutate (g) : 8"
"SSD A-DATA Ultimate SU650, 240GB, SATA III 600",144.99,,Solid-State Drive (SSD),"Model : ASU650SS-120GT-C,Serie : Ultimate,Tip SSD : Intern,Form Factor : 2.5 inch,Capacitate : 240GB,MTBF (ore) : 2.000.000,Rezistenta la soc : 1500G,Tehnologii : 3D NAND,Viteza max. (citire) (MB/s) : 520,Viteza max. (scriere) (MB/s) : 320,Inaltime (mm) : 7,Dimensiuni (L x l x G) (mm) : 100.45 x 69.85 x 7"
"Tastatura Gaming Razer Huntsman, USB, US layout, Iluminata (Negru)",893.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB,Tastatura Gaming : Da,Iluminata : Da,Layout : US,Culoare : Negru"
"Tastatura Gaming Razer BlackWidow Elite, USB, US Layout, Mecanica, Iluminata (Negru)",910.99,953.99, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB 2.0,Tastatura Gaming : Da,Tastatura Mecanica : Da,Iluminata : Da,Layout : US,Culoare : Negru"
"Tastatura Gaming Razer Huntsman Elite, USB, Iluminata, Mecanica, US Layout (Negru)",1114.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB,Tastatura Gaming : Da,Tastatura Mecanica : Da,Iluminata : Da,Key Switches : Razer Opto-Mechanical,Layout : US,Culoare : Negru"
"Mouse Gaming Acer Nitro, USB, 4000 DPI (Negru)",126.99,,Mouse,"Conectare : Wired,Tehnologie : Optic,Recomandare : Gaming,Iluminare : Da,Scroll : Da,Butoane : 8,Interfata : USB,Rezolutie (DPI) : 4000,MicroSoft : Windows 7|Windows 8|Windows 8.1,Culoare : Negru"
"Cablu Kruger&Matz KM0337 USB Tata -USB Tata, 3.0, 1 m",30,,Periferice,"Tip conector : USB Tata - USB Tata,Dimensiune (CM) : 100"
"Sursa SAMA Forza, 1200 W, 80PLUS® Platinum, Full Modulara",972.99,,Surse,"Tip : ATX,Putere : 1200W,Ventilator : 1 x 120mm,PFC : Activ,Eficienta : >94 %,Modulara : Full Modulara,Certificare : 80 PLUS PLATINUM,OCP (Over Current Protection) : Da,OVP (Over Voltage Protection) : Da,AFC (Automatic Fanspeed Control) : Da,Rail-uri +12V : 1,+3.3V : 20A,+5V : 20A,+12V1 : 98A,+5VSB : 3.0A,-12V : 0.3A,24-Pin (MotherBoard) : x1 (20+4 Pin),8(4+4)-Pin (CPU 12V) : x2,8-Pin (PCI Express) : x8 (6+2 Pin),SATA : x12,4-Pin (Molex) : x4,4-Pin (Floppy) : x1,Dimensiuni (L x l x I) (cm) : 86 x 150 x 190,Greutate (kg) : 2.00"
"Placa de baza Gigabyte Z390 AORUS ELITE, 1151 v2, DDR4",899.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Tip memorie : DIMM,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x2,Detalii sloturi grafice : 2 (x16 / x4),CrossFireX : AMD Quad-GPU CrossFire™ / 2-Way AMD CrossFire™,Slot PCI-E x1 : x4,Audio : Incorporata,Codec : Realtek ALC1220,Canale : 7.1,Placa de retea : Integrata,Controller : Intel GbE,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x4,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-A) : x2,HDMI : x1,RJ 45 : x1,Audio Jack : x5,Format : ATX,Dimensiuni (L x l) (cm) : 30.5 x 24.4"
"SSD Samsung 860 EVO, 4TB, 2.5inch, SATA III 600",2723.99,3325.99,Solid-State Drive (SSD),"Model : MZ-76E4T0B/EU,Serie : 860 EVO,Form Factor : 2.5 inch,Capacitate : 4TB,Interfata : SATA III,Rezistenta la soc : 1500G,Viteza max. (citire) (MB/s) : 550,Viteza max. (scriere) (MB/s) : 520,Inaltime (mm) : 6.8,Dimensiuni (L x l x G) (mm) : 100 x 69.85 x 6.8,Greutate (g) : 62"
"Memorii Corsair Vengeance LPX RED DDR4, 4x8GB, 2400 MHz, CL 14",892.99,,Memorii,"Tip RAM : DDR4,Capacitate : 32GB (4x8GB),Frecventa : 2400 MHz,Standard : PC4-19200,Latenta CAS : CL 14,Voltaj : 1.20V,Radiator : Vengeance LPX,Suporta : XMP 2.0"
"Stick USB Verbatim Slider, 16GB, USB 2.0 (Negru)",65.99,,Stick USB,"Capacitate : 16GB,Compatibilitate : USB 2.0,Viteza de transfer : Citire : 10 MB/s | Scriere : 4 MB/s,Windows : Windows XP/Vista/7/8,Dimensiuni (LxlxG) : 21 x 11 x 58.6 ,Culoare : Negru"
"Stick USB Verbatim Store 'n' Slider, 32GB, USB 2.0 (Negru)",92.99,,Stick USB,"Capacitate : 32GB,Compatibilitate : USB 2.0,Viteza de transfer : Citire : 10 MB/s | Scriere : 4 MB/s,Windows : Windows XP | Windows Vista | Windows 7| Windows 8| Windows 8.1 | Windows 10,Apple : Mac OS X 10.4 sau superior,Linux : Linux 2.4.0 sau superior,Dimensiuni (LxlxG) : 58.5 x 21 x 11,Greutate (g) : 8,Culoare : Negru"
"Stick USB Samsung DUO Plus, 32GB, USB 3.1, USB Type-C (Negru/Gri)",92.99,,Stick USB,"Capacitate : 32GB,Compatibilitate : USB Type-C | USB 3.1 ,Viteza de transfer : 200 MB/s,Windows : Windows XP | Windows Vista | Windows 7| Windows 8| Windows 8.1 | Windows 10,Dimensiuni (LxlxG) : 57.92 x 18.33 x 7.29,Greutate (g) : 7.7,Culoare : Negru cu gri"
"Stick USB Silicon Power Blaze B02, 16GB, USB 3.1 (Negru)",28.94,,Stick USB,"Capacitate : 16GB,Compatibilitate : USB 3.1,Windows : Windows XP | Windows Vista | Windows 7| Windows 8| Windows 8.1 | Windows 10,Apple : 10.3.x sau superior,Linux : Linux 2.6.x sau superior,Dimensiuni (LxlxG) : 18 x 60.6 x 8.1,Culoare : Negru"
Casti Thermaltake eSPORTS Shock (Rosii),214.99,,Casti - Microfoane,"Structura : Earcup,Conectare : Wired,Interfata : Jack de 3.5 mm,Lungimea cablului (m) : 3,Stil : Over-the-head,Pernuta : Da,Diametru (mm) : 40,Sensibilitate (dBPa/V) : 114 &#177; 3,Frecventa : 20Hz ~ 20 KHz,Impedanta (Ohm) : 32,Microfon : Da,Sensibilitate (dBV/Pa) : -45 &#177; 3,Tip : Bidirectional,Impedanta (Ohm) : 2.2k,Frecventa : 100Hz ~ 10 KHz,Sunet stereo : Da,Mute : Da,Controlul volumului : Da,Culoare : Rosu"
"Stick USB SanDisk Ultra Fit, 64GB, USB 3.1 (Negru)",64.99,,Stick USB,"Capacitate : 64GB,Compatibilitate : USB 3.1,Viteza de transfer : 130 MB/s,Dimensiuni (LxlxG) : 19.1 x 15.9 x 8.8,Culoare : Negru"
"Stick USB SanDisk Cruzer Ultra Flair, 256GB, USB 3.0 (Negru/Argintiu)",186.99,,Stick USB,"Capacitate : 256GB,Compatibilitate : USB 3.0,Windows : Windows 10 | Windows 8.1 | Windows 8 | Windows 7 | Windows Vista,Apple : Mac OS X v.10.6.x+,Dimensiuni (LxlxG) : 42.4 x 13.2 x 6.6,Culoare : Negru/Argintiu"
"Stick USB SanDisk Ultra Flair, 64GB, USB 3.0 (Albastru/Argintiu)",63.99,,Stick USB,"Capacitate : 64GB,Compatibilitate : USB 3.0,Viteza de transfer : 150 MB/s,Windows : Windows 10 | Windows 8.1 | Windows 8 | Windows 7 | Windows Vista,Apple : Mac OS X v.10.6.x+,Dimensiuni (LxlxG) : 42.4 x 13.2 x 6.6,Culoare : Argintiu"
"Tastatura Gaming A4Tech Bloody B2418, Iluminare, USB (Negru/Argintiu)",143.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB,Tastatura Gaming : Da,Iluminata : Da,Lungime cablu (m) : 1.8"
"Mouse Gaming Wireles Logitech G Pro, 12000 DPI, Optic (Negru)",625.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Recomandare : Gaming,Constructie : Ambidextru,Scroll : Da,Butoane : 6,Interfata : USB,Rezolutie (DPI) : 12000,Caracteristici speciale / Tehnologii : Senzor PMW3366 | Indicator RGB,Culoare : Negru,Dimensiune (mm) : 116.6 x 62.15 x 38.2,Greutate : 83 g"
"Sursa Inter-Tech Coba CES-400B, 400W, 80 Plus Bronze",196.99,,Surse,"Tip : ATX,Putere : 400W,Ventilator : 1 x 120mm,PFC : Activ,Eficienta : 85%,Modulara : Nu,Certificare : 80 PLUS BRONZE,OCP (Over Current Protection) : Da,OVP (Over Voltage Protection) : Da,SCP (Short Circuit Protection) : Da,Rail-uri +12V : 2,+3.3V : 15A,+5V : 15A,+12V1 : 17A,+12V2 : 18A,+5VSB : 3.0A,-12V : 0.3A,24-Pin (MotherBoard) : x1 (20+4 Pin),8(4+4)-Pin (CPU 12V) : x1,8-Pin (PCI Express) : x2 (6+2 Pin),SATA : x4,4-Pin (Molex) : x2,4-Pin (Floppy) : x1"
"Stick USB SanDisk Cruzer Glide, 256GB, USB 2.0 (Negru/Rosu)",300.99,,Stick USB,"Capacitate : 256GB,Compatibilitate : USB 2.0,Culoare : Negru / Rosu"
"Placa de baza ASUS ROG STRIX Z390-F GAMING, 1151 v2, DDR4",986.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 4266(O.C.)/4133(O.C.)/4000(O.C.)/3866(O.C.)/3733(O.C.)/3600(O.C.)/3466(O.C.)/3400(O.C.)/3333(O.C.)/3300(O.C.)/3200(O.C.)/3000(O.C.)/2800(O.C.)/2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 2.0/3.0,Numar slot-uri grafice : x3,Detalii sloturi grafice : 2 (x16 / x0 , x8 / x8),Slot PCI-E x1 : x3,Audio : Incorporata,Codec : ROG SupremeFX S1220A,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x2,Port-uri USB 3.1 (Type-A) : x3,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DisplayPort : x1,RJ 45 : x1,Audio Jack : x5,Format : ATX"
"Placa de baza ASUS ROG STRIX Z390-H GAMING, 1151 v2, DDR4",1074.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 4133(O.C.)/4000(O.C.)/3866(O.C.)/3733(O.C.)/3600(O.C.)/3466(O.C.)/3400(O.C.)/3333(O.C.)/3300(O.C.)/3200(O.C.)/3000(O.C.)/2800(O.C.)/2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x3,Detalii sloturi grafice : 3 (x16 / x8 / x2),Slot PCI-E x1 : x3,Audio : Incorporata,Codec : ROG SupremeFX S1220A,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 3.0 : x2,Port-uri USB 3.1 (Type-A) : x4,HDMI : x1,DisplayPort : x1,RJ 45 : x1,Audio Jack : x5,PS/2 : x1,Format : ATX"
"Placa de baza MSI Z390-A PRO, 1151 v2, DDR4",566.99,680.99,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 4400(OC)/ 4300(OC)/ 4266(OC)/ 4200(OC)/ 4133(OC)/ 4000(OC)/ 3866(OC)/ 3733(OC)/ 3600(OC)/ 3466(OC)/ 3400(OC)/ 3333(OC)/ 3300(OC)/ 3200(OC)/ 3000(OC) / 2800(OC)/ 2666/ 2400/ 2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x2,Detalii sloturi grafice : 2 (x16 / x4),CrossFireX : 2-Way AMD CrossFire,Slot PCI-E x1 : x4,Audio : Incorporata,Codec : Realtek ALC892,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x1,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x2,Port-uri USB 3.1 (Type-A) : x1,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DisplayPort : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x5,PS/2 : x1,Format : ATX"
"Procesor Intel Coffee Lake Core i5 9600K, 3.7 GHz, LGA 1151 v2, 95W (BOX)",999,,Procesoare,"Serie : Core i5,Socket : LGA 1151 v2,Nucleu : Coffee Lake,Numar nuclee : 6,Numar Thread-uri : 6,Frecventa : 3700 MHz,Frecventa Turbo : 4600 MHz,Proces de fabricatie : 14 nm,Consum : 95W,Cooler inclus : Nu,Tip : DDR4,Frecventa : 2666 MHz,Suport : Dual Channel,Memorie maxima : 128GB,Suport Grafic : Da,Model : Intel UHD 630,Frecventa : 350 MHz,Frecventa Maxima : 1150 MHz,Configuratie PCI Express : 3.0,Benzi PCI Express : 16"
"HDD Desktop Seagate BarraCuda, 2TB, SATA III 600, 256 MB",264.99,359,HDD Desktop,"Capacitate : 2TB,Viteza (rpm) : 7200,Buffer (MB) : 256,Interfata : SATA III 600,Model : ST2000DM008,Serie : BarraCuda,Dimensiuni (mm) : 147 x 101.8 x 20.2,Format : 3.5inch,Greutate (kg) : 0.49"
"Mouse Wireless Modecom MC-WM4, 1600 DPI, USB (Negru)",41.26,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 4,Interfata : USB,Rezolutie (DPI) : 1600,Trepte rezolutie (DPI) : 800/1600,Culoare : Negru,Dimensiune (mm) : 98 × 70 × 38"
"Carcasa Corsair Carbide Series Spec-06 RGB, MidTower (Negru) ",451.99,,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,Dimensiuni (cm) : 55.3 x 52.3 x 29.6,Greutate (kg) : 7.8,Culoare : Negru,Panou lateral transparent : Da, Tempered Glass,Altele : Iluminare RGB,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x4,Sloturi expansiune : x7,Lungimea maxima a placii video (mm) : 370,Inaltime maxima cooler CPU (mm) : 170 mm,USB 3.0 : x2,Audio : x1,Microfon : x1,In fata : 1 x 120 mm,In spate : 1 x 120 mm,In fata : 3 x 120mm , 2 x 140mm,Deasupra/Tavan : 2 x 120 mm"
"Carcasa Cooler Master MasterCase H500M, MidTower (Negru/Gri)",974.99,1099,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,E-ATX : Da,Dimensiuni (cm) : 54.6 x 54.4 x 24.8,Greutate (kg) : 14.2,Culoare : Negru si gri,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x8,Sloturi expansiune : x7 + 2,Lungimea maxima a placii video (mm) : 412,Inaltime maxima cooler CPU (mm) : 190,USB 3.0 : x4,USB 3.1 : x1,Audio : x1,Microfon : x1,In fata : 2 x 200 mm RGB,In spate : 1 x 140 mm,Deasupra/Tavan : 3 x 120mm sau 2 x 140 mm sau 2 x 200 mm"
"Carcasa Corsair Carbide 275R, MidTower, Tempered Glass (Negru) ",430.99,,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,Dimensiuni (cm) : 44.6 x 43.7 x 21.1,Greutate (kg) : 8.56,Culoare : Negru,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x2,Lungimea maxima a placii video (mm) : 370,Inaltime maxima cooler CPU (mm) : 170,USB 3.0 : x2,Audio : x1,Microfon : x1,In fata : 1 x 120 mm,In spate : 1 x 120 mm,In fata : 3 x 120mm , 2 x 140mm,Deasupra/Tavan : 2 x 120 mm"
"Carcasa Corsair Crystal 280X, MicroATX (Negru)",612.99,,Carcase,"Tip : MICRO ATX,Sursa : Fara sursa,mATX : Da,Dimensiuni (cm) : 39.8 x 27.6 x 35.1,Culoare : Negru,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x3,Sloturi expansiune : x4,Numar ventilatoare instalate : 1"
"Carcasa Corsair Crystal 280X, MicroATX (Alb) ",612.99,,Carcase,"Tip : MICRO ATX,Sursa : Fara sursa,mATX : Da,Dimensiuni (cm) : 39.8 x 27.6 x 35.1,Culoare : Alb,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x3,Sloturi expansiune : x4,Numar ventilatoare instalate : 1"
"Carcasa Corsair Crystal 280X RGB, MicroATX (Negru) ",914.99,,Carcase,"Tip : MICRO ATX,Sursa : Fara sursa,mATX : Da,Dimensiuni (cm) : 39.8 x 27.6 x 35.1,Culoare : Negru,Panou lateral transparent : Da, Tempered Glass,Altele : Iluminare RGB,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x3,Sloturi expansiune : x4,Numar ventilatoare instalate : 2"
"Carcasa Corsair Crystal 280X RGB, MicroATX (Alb) ",919.99,,Carcase,"Tip : MICRO ATX,Sursa : Fara sursa,mATX : Da,Dimensiuni (cm) : 39.8 x 27.6 x 35.1,Culoare : Alb,Panou lateral transparent : Da, Tempered Glass,Altele : Iluminare RGB,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x3,Sloturi expansiune : x4,Numar ventilatoare instalate : 2"
"Memorie Patriot Viper Elite Grey, DDR4, 2x8GB, 2400MHz ",327.99,,Memorii,"Seria : Viper Elite,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 2400 MHz,Latenta/Timing : 15-15-15-35,Latenta CAS : CL 15"
Tastatura Gaming Fury Hurricane TKL (Negru),81.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB,Tastatura Gaming : Da,Numar taste : 87,Iluminata : Da,Culoare LED : Multicolor,Layout : US,Sistem de operare : Windows (XP sau mai nou),Culoare : Negru,Greutate (kg) : 0.618,Lungime cablu (m) : 1.6"
Casti SteelSeries Arctis 7 (2019) (Negru),1119.99,,Casti - Microfoane,"Tip : Casti Gaming,Structura : Earcup,Conectare : Wireless,Interfata : Jack de 3,5 mm/ USB 2.0,Distanta operationala (m) : 12,Stil : Over-the-head,Pernuta : Da,Diametru (mm) : 40,Sensibilitate (dBPa/V) : 98,Frecventa : 20 Hz - 20 kHz,Tip magnet : Neodymium,Impedanta (Ohm) : 32,Microfon : Da,Sensibilitate (dBV/Pa) : -48,Tip : Bidirectional,Frecventa : 100Hz - 6.5kHz,Tehnologie : Anularea zgomotului de fundal,PC : Da,PlayStation 4 : Da,Xbox One : Da,Nintendo : Da,Sunet stereo : 7.1 surround,Mute : Da,Controlul volumului : Da,Culoare : Negru"
Casti SteelSeries Arctis 5 (2019) (Negru) ,816.99,,Casti - Microfoane,"Tip : Casti Gaming,Structura : Earcup,Conectare : Wired,Interfata : USB,Lungimea cablului (m) : 3,Stil : Over-the-head,Pernuta : Da,Diametru (mm) : 40,Sensibilitate (dBPa/V) : 98,Frecventa : 20 Hz - 22 kHz,Tip magnet : Neodymium,Impedanta (Ohm) : 32,Microfon : Da,Sensibilitate (dBV/Pa) : - 48,Tip : Bidirectional,Impedanta (Ohm) : 2200,Frecventa : 100Hz - 10kHz,Tehnologie : Anularea zgomotului de fundal,PC : Da,PlayStation 4 : Da,Xbox One : Da,Nintendo : Da,Sunet stereo : 7.1 surround,Mute : Da,Controlul volumului : Da,Culoare : Negru"
"Carcasa Corsair Carbide 275R, MidTower, Tempered Glass (Alb) ",430.99,,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,Dimensiuni (cm) : 44.6 x 43.7 x 21.1,Greutate (kg) : 8.56,Culoare : Alb,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x2,Lungimea maxima a placii video (mm) : 370,Inaltime maxima cooler CPU (mm) : 170,USB 3.0 : x2,Audio : x1,Microfon : x1,In fata : 1 x 120 mm,In spate : 1 x 120 mm,In fata : 3 x 120mm , 2 x 140mm,Deasupra/Tavan : 2 x 120 mm"
"Memorie Ripjaws V Black, DDR4, 2x8GB, 3200MHz, CL15 ",583.99,,Memorii,"Seria : Ripjaws V,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3200MHz,Latenta/Timing : 15-15-15-35,Latenta CAS : CL 15,Voltaj : 1.35V,Suporta : XMP 2.0"
"Memorie G.Skill Trident Z RGB, DDR4, 4x8GB, 3600MHz, CL19, 1.35V",1067.99,,Memorii,"Seria : Trident Z RGB,Tip RAM : DDR4,Capacitate : 32GB (4x8GB),Frecventa : 3600 MHz,Latenta CAS : CL 19,Voltaj : 1.35V,Suporta : XMP 2.0,Altele : Iluminare RGB"
"Memorie Patriot Viper RGB, DDR4, 2x8GB, 3000MHz, CL15",450.99,,Memorii,"Seria : Viper RGB,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3000MHz,Latenta CAS : CL 15,Voltaj : 1.35V,Suporta : XMP 2.0,Altele : Iluminare RGB"
"Memorie Patriot Viper RGB, DDR4, 2x8GB, 3200MHz, CL16",399,,Memorii,"Seria : Viper RGB,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3200MHz,Latenta CAS : CL 16,Voltaj : 1.35V,Suporta : XMP 2.0,Altele : Iluminare RGB"
"Memorie Patriot Viper RGB, DDR4, 2x8GB, 3200MHz, CL16 (Alb)",417.99,,Memorii,"Seria : Viper RGB,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3200MHz,Latenta CAS : CL 16,Voltaj : 1.35V,Suporta : XMP 2.0,Altele : Iluminare RGB"
"Memorie Patriot Viper RGB, DDR4, 2x8GB, 3000MHz, CL15 (Alb)",472.99,,Memorii,"Seria : Viper RGB,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3000MHz,Latenta CAS : CL 15,Voltaj : 1.35V,Suporta : XMP 2.0,Altele : Iluminare RGB"
"Placa de baza Gigabyte Z390 GAMING SLI, 1151 v2, DDR4",824.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x3,Detalii sloturi grafice : 3 (x16 / x8 / x2),SLI : Quad-GPU SLI / 2-Way NVIDIA SLI,CrossFireX : Quad-GPU CrossFireX / 2-Way AMD CrossFire,Slot PCI-E x1 : x3,Audio : Incorporata,Codec : Realtek ALC1220,Canale : 7.1,Placa de retea : Integrata,Controller : Intel GbE,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 3.0 : x6,Port-uri USB 3.1 (Type-A) : x2,HDMI : x1,DisplayPort : x1,RJ 45 : x1,Audio Jack : x6,PS/2 : x1,Format : ATX"
"Placa de baza Gigabyte Z390 Aorus PRO, 1151 v2, DDR4",892.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 4133(O.C.) / 4000(O.C.) / 3866(O.C.) / 3800(O.C.) / 3733(O.C.) / 3666(O.C.) / 3600(O.C.) / 3466(O.C.) / 3400(O.C.) / 3333(O.C.) / 3300(O.C.) / 3200(O.C.) / 3000(O.C.) / 2800(O.C.) / 2666 / 2400 / 2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x3,Detalii sloturi grafice : x3 (x16 / x8 / x4),SLI : Quad-GPU SLI / 2-Way NVIDIA SLI,CrossFireX : AMD Quad-GPU CrossFire™ / 2-Way AMD CrossFire™,Slot PCI-E x1 : x3,Audio : Incorporata,Codec : Realtek ALC1220,Canale : 7.1,Placa de retea : Integrata,Controller : Intel GbE,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x4,Port-uri USB 3.0 : x3,Port-uri USB 3.1 (Type-A) : x2,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,RJ 45 : x1,Audio Jack : x5,Format : ATX"
"Placa de baza Gigabyte Z390 UD, 1151 v2, DDR4",519.99,584.99,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel Z390,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x3,Detalii sloturi grafice : 3 (x16 / x4 / x4),CrossFireX : AMD Quad-GPU CrossFire™ / 2-Way AMD CrossFire™,Slot PCI-E x1 : x3,Audio : Incorporata,Codec : Realtek ALC887,Canale : 7.1,Placa de retea : Integrata,Controller : Realtek GbE,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x1,Port-uri USB 3.0 : x6,HDMI : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x1,Format : ATX"
